split	dataset	rows	valid_rdkit_rows	full_match_rows	full_match_pct	connectivity_match_rows	connectivity_match_pct
train	CYP3A4_Substrate_CarbonMangels	466	466	389	83.47639484978541	455	97.63948497854078
train	CYP3A4_Veith	8610	8610	8192	95.1451800232288	8439	98.01393728222996
train	Carcinogens_Lagunin	194	194	164	84.5360824742268	175	90.20618556701031
train	ClinTox	1007	1007	442	43.8927507447865	959	95.23336643495531
train	DILI	332	332	282	84.93975903614458	325	97.89156626506023
train	HIA_Hou	404	404	249	61.633663366336634	352	87.12871287128714
train	PAMPA_NCATS	1423	1423	977	68.65776528460998	1001	70.34434293745608
train	Pgp_Broccatelli	846	846	505	59.692671394799056	733	86.64302600472813
train	SARSCoV2_3CLPro_Diamond	615	615	156	25.365853658536587	165	26.829268292682926
train	SARSCoV2_Vitro_Touret	1032	1032	958	92.82945736434108	1021	98.93410852713178
train	Skin_Reaction	282	282	174	61.702127659574465	193	68.43971631205673
train	Tox21_NR-AR	5026	5026	4618	91.88221249502587	4888	97.25427775567051
train	Tox21_NR-AR-LBD	4690	4690	4310	91.89765458422175	4579	97.63326226012794
train	Tox21_NR-AhR	4522	4522	4138	91.50818222025653	4410	97.52321981424149
train	Tox21_NR-Aromatase	4035	4035	3688	91.4002478314746	3943	97.71995043370508
train	Tox21_NR-ER	4304	4304	3960	92.00743494423791	4206	97.72304832713755
train	Tox21_NR-ER-LBD	4801	4801	4417	92.00166631951677	4679	97.4588627369298
train	Tox21_NR-PPAR-gamma	4472	4472	4113	91.97227191413238	4359	97.47316636851521
train	Tox21_SR-ARE	4028	4028	3725	92.47765640516386	3927	97.49255213505462
train	Tox21_SR-ATAD5	4895	4895	4502	91.97139938712972	4774	97.52808988764045
train	Tox21_SR-HSE	4468	4468	4115	92.0993733213966	4343	97.20232766338407
train	Tox21_SR-MMP	4015	4015	3684	91.75591531755916	3909	97.359900373599
train	Tox21_SR-p53	4681	4681	4291	91.66844691305276	4562	97.45780816064944
train	hERG	452	452	182	40.26548672566372	383	84.73451327433628
valid	AMES	721	721	318	44.10540915395284	378	52.42718446601942
valid	BBB_Martins	195	195	155	79.48717948717949	184	94.35897435897436
valid	Bioavailability_Ma	64	64	63	98.4375	64	100.0
valid	CYP1A2_Veith	1254	1254	1196	95.37480063795853	1230	98.08612440191388
valid	CYP2C19_Veith	1264	1264	1216	96.20253164556962	1238	97.94303797468355
valid	CYP2C9_Substrate_CarbonMangels	66	66	55	83.33333333333333	66	100.0
valid	CYP2C9_Veith	1205	1205	1144	94.93775933609959	1178	97.75933609958506
valid	CYP2D6_Substrate_CarbonMangels	66	66	57	86.36363636363636	66	100.0
valid	CYP2D6_Veith	1313	1313	1255	95.58263518659558	1298	98.85757806549886
valid	CYP3A4_Substrate_CarbonMangels	67	67	55	82.08955223880596	65	97.01492537313433
valid	CYP3A4_Veith	1229	1229	1161	94.46704637917006	1209	98.3726606997559
valid	Carcinogens_Lagunin	28	28	24	85.71428571428571	26	92.85714285714286
valid	ClinTox	139	139	62	44.60431654676259	134	96.40287769784173
valid	DILI	47	47	34	72.34042553191489	46	97.87234042553192
valid	HIA_Hou	57	57	27	47.36842105263158	47	82.45614035087719
valid	PAMPA_NCATS	203	203	146	71.92118226600985	148	72.9064039408867
valid	Pgp_Broccatelli	121	121	65	53.71900826446281	102	84.29752066115702
valid	SARSCoV2_3CLPro_Diamond	88	88	28	31.818181818181817	28	31.818181818181817
valid	SARSCoV2_Vitro_Touret	148	148	135	91.21621621621621	146	98.64864864864865
valid	Skin_Reaction	40	40	22	55.0	23	57.5
valid	Tox21_NR-AR	723	723	655	90.59474412171508	714	98.7551867219917
valid	Tox21_NR-AR-LBD	639	639	595	93.11424100156495	629	98.43505477308294
valid	Tox21_NR-AhR	636	636	599	94.18238993710692	631	99.21383647798743
valid	Tox21_NR-Aromatase	547	547	500	91.40767824497257	539	98.53747714808044
valid	Tox21_NR-ER	616	616	567	92.04545454545455	611	99.18831168831169
valid	Tox21_NR-ER-LBD	681	681	617	90.60205580029368	673	98.82525697503671
valid	Tox21_NR-PPAR-gamma	620	620	579	93.38709677419355	613	98.87096774193549
valid	Tox21_SR-ARE	570	570	543	95.26315789473684	565	99.12280701754386
valid	Tox21_SR-ATAD5	706	706	646	91.5014164305949	700	99.15014164305948
valid	Tox21_SR-HSE	645	645	608	94.26356589147287	645	100.0
valid	Tox21_SR-MMP	568	568	530	93.30985915492958	564	99.29577464788733
valid	Tox21_SR-p53	674	674	627	93.026706231454	669	99.25816023738872
valid	hERG	64	64	25	39.0625	48	75.0
