smiles	match_method	chembl_id	n_activities	include_activities_in_tool
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1434734	9	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1593641	9	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1591368	9	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1472633	7	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1436743	8	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1362852	8	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1512379	7	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12	chembl_parent	CHEMBL1398226	10	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12	chembl_parent	CHEMBL1410016	10	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12	chembl_parent	CHEMBL1321847	9	True
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@H]12	chembl_parent	CHEMBL1361226	9	True
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(-c3ccccc3)c(=O)n12	chembl_parent	CHEMBL1553204	6	True
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(C)c(=O)n12	chembl_parent	CHEMBL1520770	8	True
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(Cc3cc4c(cc3Cl)OCO4)c(=O)n12	chembl_parent	CHEMBL1394728	7	True
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n([C@@H](CC)c3ccccc3)c(=O)n12	chembl_parent	CHEMBL1404315	10	True
C#CCN(C)C(C)Cc1ccccc1	chembl_parent	CHEMBL8663	20	True
C#CCN(C)CCCOc1ccc(Cl)cc1Cl	chembl_parent	CHEMBL8706	549	False
C#CCN(C)Cc1ccccc1	chembl_parent	CHEMBL673	313	False
C#CCN(C)[C@@H](C)Cc1ccccc1	chembl_parent	CHEMBL16857	28	False
C#CCN(C)[C@H](C)Cc1ccccc1	chembl_parent	CHEMBL972	1012	False
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	chembl_parent	CHEMBL1213352	16	True
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21	chembl_parent	CHEMBL2133606	178	False
C#CCN1C(C)=C(C(=O)CCO)[C@@H](c2cccc(-n3oo3)c2)C(C(=O)OC)=C1C	chembl_parent	CHEMBL1416812	19	True
C#CCN1C(C)=C(C(=O)OC)[C@@H](c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C	chembl_parent	CHEMBL1562657	16	True
C#CCN1CC(=O)N(COC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)C1=O	chembl_parent	CHEMBL1437391	10	True
C#CCNC(=NCCSCc1nc[nH]c1C)NC#N	chembl_parent	CHEMBL2110898	4	True
C#CCN[C@@H](C)Cc1ccccc1	chembl_parent	CHEMBL1513078	9	True
C#CCN[C@@H]1CCc2ccccc21	chembl_parent	CHEMBL887	361	False
C#CCO	chembl_parent	CHEMBL1563026	2	True
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C	chembl_parent	CHEMBL38226	3	True
C#CCOC(=O)C1=CCCN(C)C1	chembl_parent	CHEMBL128365	58	False
C#CCOC(=O)NC(/C=C/CCCC)c1ccccc1	chembl_parent	CHEMBL1361731	13	True
C#CCOC(=O)Nc1ccc(=O)n(Cc2c(Cl)cccc2Cl)c1	chembl_parent	CHEMBL1365347	18	True
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1	chembl_parent	CHEMBL1898102	174	False
C#CCOC(=O)[C@H](N)CC(N)=O	chembl_parent	CHEMBL1742234	5	True
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1	chembl_parent	CHEMBL1872101	2	True
C#CCOCCCC(=O)O	chembl_parent	CHEMBL1531499	59	False
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1	chembl_parent	CHEMBL1416084	28	False
C#CCOc1ccc(-c2nnc(Nc3ccc(NC(C)=O)cc3)c3ccccc23)cc1	chembl_parent	CHEMBL1410216	10	True
C#CCOc1ccc2c(C)cc(=O)oc2c1	chembl_parent	CHEMBL1377940	26	False
C#CCSc1n[nH]c(-c2ccco2)n1	chembl_parent	CHEMBL1401732	80	False
C#CCSc1nc(Cc2ccc(Cl)cc2)nc2ccccc12	chembl_parent	CHEMBL1558201	12	True
C#CCSc1nnc(-c2cc3c(C(F)(F)F)nn(C)c3s2)n1C	chembl_parent	CHEMBL1741927	12	True
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C	chembl_parent	CHEMBL1393076	19	True
C#CCSc1nnc(-c2sc3ccccc3c2Cl)o1	chembl_parent	CHEMBL1376048	34	False
C#CCSc1nncn1C(=O)/C=C/c1ccccc1	chembl_parent	CHEMBL1470528	25	False
C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12	chembl_parent	CHEMBL2105261	16	True
C#CC[N+](CC)(CC)CC#Cc1cccc(Cl)c1	chembl_parent	CHEMBL1740897	0	True
C#CC[NH+](C)Cc1ccccc1	chembl_parent	CHEMBL673	313	False
C#CC[NH+](C)[C@H](C)Cc1ccccc1	chembl_parent	CHEMBL972	1012	False
C#CC[NH2+][C@@H]1CCc2ccccc21	chembl_parent	CHEMBL887	361	False
C#CCn1c(=O)c2c(ncn2C)n(C)c1=O	chembl_parent	CHEMBL282038	44	False
C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1	chembl_parent	CHEMBL1445737	23	True
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@]21C	chembl_parent	CHEMBL1480126	15	True
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C	chembl_parent	CHEMBL1557383	13	True
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC	chembl_parent	CHEMBL1571929	9	True
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C	chembl_parent	CHEMBL1375243	11	True
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL3182598	11	True
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@H]4[C@H]3CC[C@]21C	chembl_parent	CHEMBL1435200	12	True
C#C[C@H](N)CCC(=O)O	chembl_parent	CHEMBL1594901	9	True
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	chembl_parent	CHEMBL1213583	86	False
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C	chembl_parent	CHEMBL1356106	18	True
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C	chembl_parent	CHEMBL1493294	16	True
C#C[C@]1(O)CC[C@@H]2[C@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C	chembl_parent	CHEMBL1435885	11	True
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1387	89	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC	chembl_parent	CHEMBL1200807	15	True
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC	chembl_parent	CHEMBL1868702	133	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC	chembl_parent	CHEMBL1531	75	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1162	1280	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	chembl_parent	CHEMBL1389	198	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	chembl_parent	CHEMBL241694	568	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC	chembl_parent	CHEMBL1533	118	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL2107431	108	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1479	2219	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL691	2845	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C	chembl_parent	CHEMBL1628161	28	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1201151	806	False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1201165	127	False
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C	chembl_parent	CHEMBL2103774	355	False
C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@]21C	chembl_parent	CHEMBL1551576	20	True
C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL3187229	9	True
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC	chembl_parent	CHEMBL1200934	182	False
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1201146	679	False
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C	chembl_parent	CHEMBL1200624	412	False
C#Cc1ccc(-c2ccccc2F)cc1	chembl_parent	CHEMBL2106321	6	True
C#Cc1ccc(NC(=O)c2cnn3c(C)cc(C)nc23)cc1	chembl_parent	CHEMBL1704625	44	False
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	chembl_parent	CHEMBL553	5729	False
C#N	chembl_parent	CHEMBL183419	41	False
C(#CCN1CCCC1)CN1CCCC1	chembl_parent	CHEMBL1483237	19	True
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1	chembl_parent	CHEMBL224918	6	True
C(#Cc1ccccc1)CN1CCCCC1	chembl_parent	CHEMBL1907130	0	True
C(/C=C/c1ccco1)=N/N1CCN(c2ccccc2)CC1	chembl_parent	CHEMBL3194933	36	False
C(/C=C\c1ccccc1)=Nc1ccc2c(c1)Cc1ccccc1-2	chembl_parent	CHEMBL1371221	9	True
C(=C(c1ccccc1)c1ccccc1)c1ccccc1	chembl_parent	CHEMBL3115201	1	True
C(=C/C=N/c1ccccc1)\C=C\Nc1ccccc1	chembl_parent	CHEMBL3208444	4	True
C(=C/c1cccc(/C=C/c2ccccc2)c1)\c1ccccc1	chembl_parent	CHEMBL2059397	1	True
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1	chembl_parent	CHEMBL43064	762	False
C(=C/c1ccccc1)\c1ccccc1	chembl_parent	CHEMBL113028	23	True
C(=C/c1nnc(-c2cccs2)o1)\c1ccccc1	chembl_parent	CHEMBL1523565	38	False
C(=C1\CCCC2=C1Nc1ncnn1C2c1ccccc1)\c1ccccc1	chembl_parent	CHEMBL1530525	30	False
C(=C\c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1	chembl_parent	CHEMBL1257123	23	True
C(=C\c1ccccc1)\CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1	chembl_parent	CHEMBL1457262	25	False
C(=C\c1ccccc1)\c1ccccc1	chembl_parent	CHEMBL393702	5	True
C(=Cc1ccncc1)c1ccccc1	chembl_parent	CHEMBL3182986	1	True
C(=N/N(c1ccccc1)c1ccccc1)\c1ccc2c(c1)OCO2	chembl_parent	CHEMBL3210945	14	True
C(=N/N1CCN(C2c3ccccc3-c3ccccc32)CC1)\c1cccnc1	chembl_parent	CHEMBL3194920	19	True
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12	chembl_parent	CHEMBL25336	125	False
C(=N/Nc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)\c1c[nH]c2ccccc12	chembl_parent	CHEMBL3197177	47	False
C(=N/n1cnnc1)\c1cccn1-c1ccccc1	chembl_parent	CHEMBL3211204	14	True
C(=NC1CCCCC1)=NC1CCCCC1	chembl_parent	CHEMBL162598	71	False
C(=NCCN1CCOCC1)=NC1CCCCC1	chembl_parent	CHEMBL1742145	62	False
C(=N\Nc1ccccn1)\c1cccnc1	chembl_parent	CHEMBL1372309	66	False
C(=N\Nc1nnc2c(n1)[nH]c1ccccc12)\c1cccnc1	chembl_parent	CHEMBL1354648	10	True
C(CCOCC1CO1)COCC1CO1	chembl_parent	CHEMBL1450123	11	True
C(CCc1nnc2c(n1)CCCC2)Cc1nnc2c(n1)CCCC2	chembl_parent	CHEMBL1491455	68	False
C(COCC1CO1)OCC1CO1	chembl_parent	CHEMBL3182506	0	True
C(Cc1nn[nH]n1)c1nn[nH]n1	chembl_parent	CHEMBL1487981	61	False
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N	chembl_parent	CHEMBL1740659	41	False
C/C(=C(/CCO)SSC[C@@H]1CCCO1)N(C=O)Cc1cnc(C)nc1N	chembl_parent	CHEMBL1449987	12	True
C/C(=C(/CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N	chembl_parent	CHEMBL1987005	1	True
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1	chembl_parent	CHEMBL2046550	17	True
C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N	chembl_parent	CHEMBL2105814	2	True
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	chembl_parent	CHEMBL4303665	103	False
C/C(=C/C(=O)NCc1ccccc1)C(=O)O	chembl_parent	CHEMBL1610199	6	True
C/C(=C/CCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1	chembl_parent	CHEMBL2105507	0	True
C/C(=C1/SC(N2CCCC2)=NC1=O)c1ccc(Br)cc1	chembl_parent	CHEMBL1351200	23	True
C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N	chembl_parent	CHEMBL2106586	1	True
