smiles,rdkit__qed,rdkit__MolWt,rdkit__HeavyAtomMolWt,rdkit__ExactMolWt,rdkit__MaxPartialCharge,rdkit__MinPartialCharge,rdkit__MaxAbsPartialCharge,rdkit__MinAbsPartialCharge,rdkit__LabuteASA,rdkit__TPSA,rdkit__FractionCSP3,rdkit__HeavyAtomCount,rdkit__NHOHCount,rdkit__NOCount,rdkit__NumAliphaticCarbocycles,rdkit__NumAliphaticHeterocycles,rdkit__NumAliphaticRings,rdkit__NumAromaticCarbocycles,rdkit__NumAromaticHeterocycles,rdkit__NumAromaticRings,rdkit__NumHAcceptors,rdkit__NumHDonors,rdkit__NumHeteroatoms,rdkit__NumRotatableBonds,rdkit__NumSaturatedCarbocycles,rdkit__NumSaturatedHeterocycles,rdkit__NumSaturatedRings,rdkit__RingCount,rdkit__MolLogP,rdkit__fr_Al_COO,rdkit__fr_Al_OH,rdkit__fr_Al_OH_noTert,rdkit__fr_ArN,rdkit__fr_Ar_COO,rdkit__fr_Ar_N,rdkit__fr_Ar_NH,rdkit__fr_Ar_OH,rdkit__fr_COO,rdkit__fr_COO2,rdkit__fr_C_O,rdkit__fr_C_O_noCOO,rdkit__fr_C_S,rdkit__fr_HOCCN,rdkit__fr_Imine,rdkit__fr_NH0,rdkit__fr_NH1,rdkit__fr_NH2,rdkit__fr_N_O,rdkit__fr_Ndealkylation1,rdkit__fr_Ndealkylation2,rdkit__fr_Nhpyrrole,rdkit__fr_SH,rdkit__fr_aldehyde,rdkit__fr_alkyl_carbamate,rdkit__fr_alkyl_halide,rdkit__fr_allylic_oxid,rdkit__fr_amide,rdkit__fr_amidine,rdkit__fr_aniline,rdkit__fr_aryl_methyl,rdkit__fr_azide,rdkit__fr_azo,rdkit__fr_barbitur,rdkit__fr_benzene,rdkit__fr_benzodiazepine,rdkit__fr_bicyclic,rdkit__fr_diazo,rdkit__fr_dihydropyridine,rdkit__fr_epoxide,rdkit__fr_ester,rdkit__fr_ether,rdkit__fr_furan,rdkit__fr_guanido,rdkit__fr_halogen,rdkit__fr_hdrzine,rdkit__fr_hdrzone,rdkit__fr_imidazole,rdkit__fr_imide,rdkit__fr_isocyan,rdkit__fr_isothiocyan,rdkit__fr_ketone,rdkit__fr_ketone_Topliss,rdkit__fr_lactam,rdkit__fr_lactone,rdkit__fr_methoxy,rdkit__fr_morpholine,rdkit__fr_nitrile,rdkit__fr_nitro,rdkit__fr_nitro_arom,rdkit__fr_nitro_arom_nonortho,rdkit__fr_nitroso,rdkit__fr_oxazole,rdkit__fr_oxime,rdkit__fr_para_hydroxylation,rdkit__fr_phenol,rdkit__fr_phenol_noOrthoHbond,rdkit__fr_phos_acid,rdkit__fr_phos_ester,rdkit__fr_piperdine,rdkit__fr_piperzine,rdkit__fr_priamide,rdkit__fr_prisulfonamd,rdkit__fr_pyridine,rdkit__fr_quatN,rdkit__fr_sulfide,rdkit__fr_sulfonamd,rdkit__fr_sulfone,rdkit__fr_term_acetylene,rdkit__fr_tetrazole,rdkit__fr_thiazole,rdkit__fr_thiocyan,rdkit__fr_thiophene,rdkit__fr_unbrch_alkane,rdkit__fr_urea,pka__num_basic_sites,pka__num_acidic_sites,pka__num_ionizable_sites,pka__has_basic_site,pka__has_acidic_site,pka__is_amphoteric,pka__most_basic_pka,pka__most_acidic_pka,pka__logd_ph,pka__logp_wildman_crippen,pka__logd_estimate,pka__fraction_neutral,pka__base_site_pka_min,pka__base_site_pka_max,pka__base_site_pka_mean,pka__base_site_pka_std,pka__base_site_pka_sum,pka__base_site_pka_range,pka__acid_site_pka_min,pka__acid_site_pka_max,pka__acid_site_pka_mean,pka__acid_site_pka_std,pka__acid_site_pka_sum,pka__acid_site_pka_range,pka__warning_count,pka__warning_multiple_basic_sites,pka__warning_multiple_acidic_sites,pka__warning_amphoteric,pka__warning_fraction_neutral_clamped,pka__warning_fraction_neutral_tiny,pka__base_site_pka_rank_1,pka__base_site_pka_rank_2,pka__base_site_pka_rank_3,pka__base_site_pka_rank_4,pka__base_site_pka_rank_5,pka__base_site_pka_rank_6,pka__base_site_pka_rank_7,pka__acid_site_pka_rank_1,pka__acid_site_pka_rank_2,pka__acid_site_pka_rank_3,pka__acid_site_pka_rank_4,pka__acid_site_pka_rank_5,pka__acid_site_pka_rank_6,pka__acid_site_pka_rank_7,pka__acid_site_pka_rank_8,pka__acid_site_pka_rank_9,pka__acid_site_pka_rank_10,pka__acid_site_pka_rank_11,pka__acid_site_pka_rank_12,pka__acid_site_pka_rank_13,pka__acid_site_pka_rank_14,pka__acid_site_pka_rank_15,pka__acid_site_pka_rank_16,pka__acid_site_pka_rank_17,pka__acid_site_pka_rank_18,pka__acid_site_pka_rank_19,pka__acid_site_pka_rank_20,pka__acid_site_pka_rank_21,pka__acid_site_pka_rank_22,pka__acid_site_pka_rank_23
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.5731348904238734,296.5520000000001,276.39200000000005,296.05093264,0.1469512998027304,-0.3573941017299303,0.3573941017299303,0.1469512998027304,117.90714002929566,6.48,0.8,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,3.621200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,1,0,0,1.7158,,7.4,3.6212,3.6212,1.0,1.7158,1.7158,1.7158,0.0,3.4316,0.0,,,,,0.0,,1,1,0,0,0,0,1.7158,1.7158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)CCCCCCCC(=O)O,0.5701815945486012,188.223,172.09499999999997,188.104858992,0.3028395565321946,-0.4812303897852169,0.4812303897852169,0.3028395565321946,77.570299647482,74.6,0.7777777777777778,13.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.8863,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,2,2,0,1,0,,4.5688,7.4,1.8863,-0.9455,0.0015,,,,,0.0,,4.5688,4.5688,4.5688,0.0,9.1376,0.0,1,0,1,0,0,0,,,,,,,,4.5688,4.5688,,,,,,,,,,,,,,,,,,,,,
CC[C@@H](CO)NCCN[C@@H](CC)CO,0.3896708755641931,204.314,180.122,204.183778008,0.058403491105504,-0.394756541371097,0.394756541371097,0.058403491105504,86.71192192900713,64.52,1.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,-0.292599999999999,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,1,1,1,9.4823,13.8218,7.4,-0.2926,-2.3785,0.0082,9.4823,9.4823,9.4823,0.0,18.9646,0.0,13.8218,13.8218,13.8218,0.0,27.6436,0.0,3,1,1,1,0,0,9.4823,9.4823,,,,,,13.8218,13.8218,,,,,,,,,,,,,,,,,,,,,
CC(C[N+](C)(C)C)OC(N)=O,0.6000594654010832,161.22499999999997,144.08899999999997,161.12845420409,0.404473487413093,-0.4406847689894936,0.4406847689894936,0.404473487413093,67.51366689757126,52.32,0.8571428571428571,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,1,1,1,2.9924,12.3239,7.4,0.1764,0.1764,0.9999,2.9924,2.9924,2.9924,0.0,2.9924,0.0,12.3239,12.3239,12.3239,0.0,24.6478,0.0,2,0,1,1,0,0,2.9924,,,,,,,12.3239,12.3239,,,,,,,,,,,,,,,,,,,,,
C/C=C/C(=O)N(CCC)C(CC)C(=O)N(C)C,0.6625852279487483,240.347,216.155,240.183778008,0.2464021596873127,-0.347032073787153,0.347032073787153,0.2464021596873127,104.27166490889884,40.620000000000005,0.6923076923076923,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.6679000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,7.4,1.6679,1.6679,1.0,,,,,0.0,,,,,,0.0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)OC(F)C(F)(F)F,0.5732475481548114,168.03599999999997,166.01999999999998,168.000984004,0.4448651824086392,-0.2794569037876448,0.4448651824086392,0.2794569037876448,51.575892903687055,9.23,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,7.4,2.0835,2.0835,1.0,,,,,0.0,,,,,,0.0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,0.6315993675208099,274.36099999999993,248.153,274.189257312,0.406646780933461,-0.4489937651507691,0.4489937651507691,0.406646780933461,114.5584439403109,90.65,0.8461538461538461,19.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,2.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,4,1,1,1,2.7532,12.592,7.4,2.4144,2.4144,1.0,2.7532,2.7532,2.7532,0.0,2.7532,0.0,12.592,12.6587,12.614233333333331,0.0314426815367613,37.8427,0.0666999999999991,2,0,1,1,0,0,2.7532,,,,,,,12.592,12.592,12.6587,,,,,,,,,,,,,,,,,,,,
CCCC(CCC)C(=O)O,0.6423719745530849,144.214,128.08599999999998,144.115029752,0.3059867788595575,-0.4810264638850934,0.4810264638850934,0.3059867788595575,62.24960168084558,37.3,0.875,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.2874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,,4.7532,7.4,2.2874,-0.3604,0.0023,,,,,0.0,,4.7532,4.7532,4.7532,0.0,4.7532,0.0,0,0,0,0,0,0,,,,,,,,4.7532,,,,,,,,,,,,,,,,,,,,,,
CC(C)(CO)[C@@H](O)C(=O)NCCCC(=O)O,0.436944139799197,233.26399999999995,214.11199999999997,233.126322708,0.3029083865766543,-0.4812295631432473,0.4812295631432473,0.3029083865766543,94.27933769768264,106.86,0.8,16.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,-0.6532,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,0,1,0,,4.6436,7.4,-0.6532,-3.4104,0.0017,,,,,0.0,,4.6436,13.1895,10.900075,3.6159208034572607,43.6003,8.5459,1,0,1,0,0,0,,,,,,,,4.6436,12.7322,13.035,13.1895,,,,,,,,,,,,,,,,,,,
CCC(Br)(C(N)=O)C(C)C,0.7040477106854527,208.099,193.987,207.025876168,0.2340716785413466,-0.3684502906888284,0.3684502906888284,0.2340716785413466,70.29786411690704,43.09,0.8571428571428571,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.6714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,1,1,1,3.5864,13.5757,7.4,1.6714,1.6713,0.9998,3.5864,3.5864,3.5864,0.0,3.5864,0.0,13.5757,13.5757,13.5757,0.0,27.1514,0.0,2,0,1,1,0,0,3.5864,,,,,,,13.5757,13.5757,,,,,,,,,,,,,,,,,,,,,
O=NN(CCCl)C(=O)NCCCl,0.4236058600444414,214.052,204.98,213.007181888,0.3399886072735221,-0.3352164224800899,0.3399886072735221,0.3352164224800899,79.94163789749994,61.77,0.8,12.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,1.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,,10.1554,7.4,1.157,1.1562,0.9982,,,,,0.0,,10.1554,10.1554,10.1554,0.0,10.1554,0.0,0,0,0,0,0,0,,,,,,,,10.1554,,,,,,,,,,,,,,,,,,,,,,
OCC(O)C(O)C(O)C(O)CO,0.2612626527203185,182.172,168.05999999999997,182.079038168,0.1105786065313125,-0.393579134968567,0.393579134968567,0.1105786065313125,69.32936411298864,121.38,1.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,-3.5854000000000004,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6,0,1,0,,13.3215,7.4,-3.5854,-3.5854,1.0,,,,,0.0,,13.3215,13.3312,13.3272,0.0041384377084436,79.9632,0.0097000000000004,1,0,1,0,0,0,,,,,,,,13.3215,13.3215,13.3289,13.3289,13.3312,13.3312,,,,,,,,,,,,,,,,,
CCC(C)C(C)(COC(N)=O)COC(N)=O,0.7179858695750138,232.27999999999997,212.12,232.14230712,0.4040086094685771,-0.4489825651139505,0.4489825651139505,0.4040086094685771,95.25364611052574,104.64,0.8,16.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,1.2294000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6,1,1,1,2.7075,13.157,7.4,1.2294,1.2294,1.0,2.7075,2.7075,2.7075,0.0,5.415,0.0,13.157,13.157,13.157,0.0,52.628,0.0,3,1,1,1,0,0,2.7075,2.7075,,,,,,13.157,13.157,13.157,13.157,,,,,,,,,,,,,,,,,,,
CNC(=O)NC(O)C(Cl)(Cl)Cl,0.4486039074024284,221.471,214.415,219.957310504,0.3161557992141043,-0.3694070501551948,0.3694070501551948,0.3161557992141043,78.79935627112025,61.36,0.75,11.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.6039999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,3,0,1,0,,10.5261,7.4,0.604,0.6037,0.9993,,,,,0.0,,10.5261,11.6899,11.1798,0.4858486252596241,33.5394,1.1638000000000002,1,0,1,0,0,0,,,,,,,,10.5261,11.3234,11.6899,,,,,,,,,,,,,,,,,,,,
FCOC(C(F)(F)F)C(F)(F)F,0.6216574973922095,200.053,197.029,200.007212256,0.4232385429482241,-0.3288899382363611,0.4232385429482241,0.3288899382363611,62.10637042100989,9.23,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,2.4232000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,7.4,2.4232,2.4232,1.0,,,,,0.0,,,,,,0.0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCNCC(N)=O,0.5249914441049913,144.218,128.09,144.126263132,0.2308784609974196,-0.3685683491074772,0.3685683491074772,0.2308784609974196,61.98017869487372,55.12,0.8571428571428571,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,2,4,1,1,1,8.5247,13.8375,7.4,0.2515,-0.9046,0.0698,5.8222,8.5247,7.173449999999999,1.3512499999999998,14.346899999999998,2.7025,13.8375,13.8375,13.8375,0.0,27.675,0.0,3,1,1,1,0,0,8.5247,5.8222,,,,,,13.8375,13.8375,,,,,,,,,,,,,,,,,,,,,
CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C,0.7447011306261557,274.361,248.153,274.189257312,0.4068452129288483,-0.4489825651097823,0.4489825651097823,0.4068452129288483,114.55844394031088,90.65,0.8461538461538461,19.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,2.2687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,4,1,1,1,2.738,12.3805,7.4,2.2687,2.2687,1.0,2.738,2.738,2.738,0.0,2.738,0.0,12.3805,12.426,12.410833333333334,0.0214489056959922,37.2325,0.0455000000000005,2,0,1,1,0,0,2.738,,,,,,,12.3805,12.426,12.426,,,,,,,,,,,,,,,,,,,,
