split	dataset	rows	valid_rdkit_rows	full_match_rows	full_match_pct	connectivity_match_rows	connectivity_match_pct	rdkit_valid_rows	rdkit_full_match_rows	rdkit_full_match_pct	rdkit_connectivity_match_rows	rdkit_connectivity_match_pct	chembl_standardized_valid_rows	chembl_standardized_full_match_rows	chembl_standardized_full_match_pct	chembl_standardized_connectivity_match_rows	chembl_standardized_connectivity_match_pct	chembl_parent_valid_rows	chembl_parent_full_match_rows	chembl_parent_full_match_pct	chembl_parent_connectivity_match_rows	chembl_parent_connectivity_match_pct
test	ClinTox	286	286	144	50.34965034965035	269	94.05594405594405	286	144	50.34965034965035	269	94.05594405594405	286	264	92.3076923076923	280	97.9020979020979	286	265	92.65734265734265	280	97.9020979020979
test	DILI	96	96	81	84.375	93	96.875	96	81	84.375	93	96.875	96	81	84.375	93	96.875	96	81	84.375	93	96.875
test	HIA_Hou	117	117	67	57.26495726495727	104	88.88888888888889	117	67	57.26495726495727	104	88.88888888888889	117	67	57.26495726495727	104	88.88888888888889	117	67	57.26495726495727	104	88.88888888888889
test	PAMPA_NCATS	408	408	300	73.52941176470588	303	74.26470588235294	408	300	73.52941176470588	303	74.26470588235294	408	300	73.52941176470588	303	74.26470588235294	408	300	73.52941176470588	303	74.26470588235294
test	Pgp_Broccatelli	245	245	171	69.79591836734694	224	91.42857142857143	245	171	69.79591836734694	224	91.42857142857143	245	171	69.79591836734694	224	91.42857142857143	245	171	69.79591836734694	224	91.42857142857143
test	SARSCoV2_3CLPro_Diamond	176	176	59	33.52272727272727	63	35.79545454545455	176	59	33.52272727272727	63	35.79545454545455	176	59	33.52272727272727	63	35.79545454545455	176	59	33.52272727272727	63	35.79545454545455
test	SARSCoV2_Vitro_Touret	297	297	277	93.26599326599326	290	97.64309764309765	297	277	93.26599326599326	290	97.64309764309765	297	282	94.94949494949495	291	97.97979797979798	297	282	94.94949494949495	291	97.97979797979798
test	Skin_Reaction	82	82	38	46.34146341463415	48	58.53658536585366	82	38	46.34146341463415	48	58.53658536585366	82	38	46.34146341463415	48	58.53658536585366	82	38	46.34146341463415	48	58.53658536585366
test	Tox21_NR-AR	1404	1404	1295	92.23646723646723	1396	99.43019943019944	1404	1295	92.23646723646723	1396	99.43019943019944	1404	1363	97.07977207977208	1396	99.43019943019944	1404	1363	97.07977207977208	1396	99.43019943019944
test	Tox21_NR-AR-LBD	1332	1332	1228	92.1921921921922	1321	99.17417417417417	1332	1228	92.1921921921922	1321	99.17417417417417	1332	1301	97.67267267267268	1324	99.3993993993994	1332	1302	97.74774774774775	1324	99.3993993993994
test	Tox21_NR-AhR	1297	1297	1191	91.82729375481881	1281	98.76638396299153	1297	1191	91.82729375481881	1281	98.76638396299153	1297	1247	96.14494988434849	1286	99.15188897455667	1297	1248	96.22205088666152	1286	99.15188897455667
test	Tox21_NR-Aromatase	1144	1144	1065	93.0944055944056	1132	98.95104895104895	1144	1065	93.0944055944056	1132	98.95104895104895	1144	1110	97.02797202797203	1133	99.03846153846153	1144	1110	97.02797202797203	1133	99.03846153846153
test	Tox21_NR-ER	1195	1195	1101	92.13389121338912	1178	98.57740585774059	1195	1101	92.13389121338912	1178	98.57740585774059	1195	1153	96.48535564853556	1182	98.91213389121339	1195	1153	96.48535564853556	1182	98.91213389121339
test	Tox21_NR-ER-LBD	1377	1377	1271	92.30210602759622	1362	98.91067538126362	1377	1271	92.30210602759622	1362	98.91067538126362	1377	1337	97.0951343500363	1367	99.27378358750907	1377	1337	97.0951343500363	1367	99.27378358750907
test	Tox21_NR-PPAR-gamma	1269	1269	1166	91.88337273443656	1256	98.97557131599685	1269	1166	91.88337273443656	1256	98.97557131599685	1269	1235	97.32072498029945	1261	99.36958234830576	1269	1236	97.39952718676123	1261	99.36958234830576
test	Tox21_SR-ARE	1143	1143	1076	94.13823272090988	1132	99.03762029746282	1143	1076	94.13823272090988	1132	99.03762029746282	1143	1116	97.63779527559055	1134	99.21259842519684	1143	1116	97.63779527559055	1134	99.21259842519684
test	Tox21_SR-ATAD5	1371	1371	1276	93.07075127644056	1361	99.27060539752006	1371	1276	93.07075127644056	1361	99.27060539752006	1371	1338	97.59299781181619	1361	99.27060539752006	1371	1338	97.59299781181619	1361	99.27060539752006
test	Tox21_SR-HSE	1267	1267	1205	95.10655090765589	1257	99.21073401736385	1267	1205	95.10655090765589	1257	99.21073401736385	1267	1241	97.94790844514601	1257	99.21073401736385	1267	1241	97.94790844514601	1257	99.21073401736385
test	Tox21_SR-MMP	1153	1153	1068	92.62792714657415	1139	98.78577623590633	1153	1068	92.62792714657415	1139	98.78577623590633	1153	1111	96.35732870771899	1140	98.87250650477017	1153	1112	96.44405897658282	1140	98.87250650477017
test	Tox21_SR-p53	1325	1325	1234	93.13207547169812	1318	99.47169811320755	1325	1234	93.13207547169812	1318	99.47169811320755	1325	1294	97.66037735849056	1320	99.62264150943396	1325	1295	97.73584905660377	1320	99.62264150943396
test	hERG	124	124	51	41.12903225806452	111	89.51612903225806	124	51	41.12903225806452	111	89.51612903225806	124	81	65.3225806451613	111	89.51612903225806	124	81	65.3225806451613	111	89.51612903225806
train	AMES	5081	5081	2475	48.71088368431411	2787	54.85140720330644	5081	2475	48.71088368431411	2787	54.85140720330644	5081	2477	48.75024601456406	2787	54.85140720330644	5081	2477	48.75024601456406	2787	54.85140720330644
train	BBB_Martins	1369	1369	1127	82.32286340394448	1296	94.66764061358656	1369	1127	82.32286340394448	1296	94.66764061358656	1369	1138	83.1263696128561	1296	94.66764061358656	1369	1138	83.1263696128561	1296	94.66764061358656
train	Bioavailability_Ma	448	448	437	97.54464285714286	446	99.55357142857143	448	437	97.54464285714286	446	99.55357142857143	448	437	97.54464285714286	446	99.55357142857143	448	437	97.54464285714286	446	99.55357142857143
train	CYP1A2_Veith	8787	8787	8373	95.28849436667805	8617	98.06532377375669	8787	8373	95.28849436667805	8617	98.06532377375669	8787	8446	96.1192670991237	8622	98.12222601570502	8787	8446	96.1192670991237	8622	98.12222601570502
train	CYP2C19_Veith	8836	8836	8419	95.2806699864192	8675	98.17790855590765	8836	8419	95.2806699864192	8675	98.17790855590765	8836	8493	96.11815301041194	8682	98.2571299230421	8836	8493	96.11815301041194	8682	98.2571299230421
train	CYP2C9_Substrate_CarbonMangels	465	465	385	82.79569892473118	454	97.63440860215054	465	385	82.79569892473118	454	97.63440860215054	465	385	82.79569892473118	454	97.63440860215054	465	385	82.79569892473118	454	97.63440860215054
train	CYP2C9_Veith	8437	8437	8057	95.49602939433449	8296	98.32878985421358	8437	8057	95.49602939433449	8296	98.32878985421358	8437	8119	96.23088775631149	8299	98.3643475168899	8437	8119	96.23088775631149	8299	98.3643475168899
train	CYP2D6_Substrate_CarbonMangels	464	464	380	81.89655172413794	452	97.41379310344827	464	380	81.89655172413794	452	97.41379310344827	464	380	81.89655172413794	452	97.41379310344827	464	380	81.89655172413794	452	97.41379310344827
train	CYP2D6_Veith	9158	9158	8689	94.87879449661499	8948	97.70692290893209	9158	8689	94.87879449661499	8948	97.70692290893209	9158	8753	95.57763703865473	8951	97.73968115309019	9158	8753	95.57763703865473	8951	97.73968115309019
train	CYP3A4_Substrate_CarbonMangels	466	466	389	83.47639484978541	455	97.63948497854078	466	389	83.47639484978541	455	97.63948497854078	466	389	83.47639484978541	455	97.63948497854078	466	389	83.47639484978541	455	97.63948497854078
train	CYP3A4_Veith	8610	8610	8192	95.1451800232288	8439	98.01393728222996	8610	8192	95.1451800232288	8439	98.01393728222996	8610	8257	95.90011614401858	8441	98.03716608594658	8610	8257	95.90011614401858	8441	98.03716608594658
train	Carcinogens_Lagunin	194	194	164	84.5360824742268	175	90.20618556701031	194	164	84.5360824742268	175	90.20618556701031	194	163	84.02061855670104	175	90.20618556701031	194	163	84.02061855670104	175	90.20618556701031
train	ClinTox	1007	1007	442	43.8927507447865	959	95.23336643495531	1007	442	43.8927507447865	959	95.23336643495531	1007	938	93.14796425024826	971	96.42502482621649	1007	940	93.34657398212512	971	96.42502482621649
train	DILI	332	332	282	84.93975903614458	325	97.89156626506023	332	282	84.93975903614458	325	97.89156626506023	332	288	86.74698795180723	326	98.19277108433735	332	288	86.74698795180723	326	98.19277108433735
train	HIA_Hou	404	404	249	61.633663366336634	352	87.12871287128714	404	249	61.633663366336634	352	87.12871287128714	404	252	62.37623762376238	352	87.12871287128714	404	252	62.37623762376238	352	87.12871287128714
train	PAMPA_NCATS	1423	1423	977	68.65776528460998	1001	70.34434293745608	1423	977	68.65776528460998	1001	70.34434293745608	1423	978	68.72803935347856	1002	70.41461700632466	1423	978	68.72803935347856	1002	70.41461700632466
train	Pgp_Broccatelli	846	846	505	59.692671394799056	733	86.64302600472813	846	505	59.692671394799056	733	86.64302600472813	846	505	59.692671394799056	733	86.64302600472813	846	505	59.692671394799056	733	86.64302600472813
train	SARSCoV2_3CLPro_Diamond	615	615	156	25.365853658536587	165	26.829268292682926	615	156	25.365853658536587	165	26.829268292682926	615	157	25.528455284552845	165	26.829268292682926	615	157	25.528455284552845	165	26.829268292682926
train	SARSCoV2_Vitro_Touret	1032	1032	958	92.82945736434108	1021	98.93410852713178	1032	958	92.82945736434108	1021	98.93410852713178	1032	1003	97.18992248062015	1025	99.32170542635659	1032	1003	97.18992248062015	1025	99.32170542635659
train	Skin_Reaction	282	282	174	61.702127659574465	193	68.43971631205673	282	174	61.702127659574465	193	68.43971631205673	282	174	61.702127659574465	193	68.43971631205673	282	174	61.702127659574465	193	68.43971631205673
train	Tox21_NR-AR	5026	5026	4618	91.88221249502587	4888	97.25427775567051	5026	4618	91.88221249502587	4888	97.25427775567051	5025	4857	96.6374850775965	4902	97.53282928770393	5025	4858	96.65738161559888	4903	97.55272582570633
train	Tox21_NR-AR-LBD	4690	4690	4310	91.89765458422175	4579	97.63326226012794	4690	4310	91.89765458422175	4579	97.63326226012794	4689	4535	96.69509594882729	4590	97.86780383795309	4689	4536	96.71641791044776	4591	97.88912579957356
train	Tox21_NR-AhR	4522	4522	4138	91.50818222025653	4410	97.52321981424149	4522	4138	91.50818222025653	4410	97.52321981424149	4521	4374	96.72711189739053	4422	97.78858911985847	4521	4375	96.74922600619195	4423	97.81070322865989
train	Tox21_NR-Aromatase	4035	4035	3688	91.4002478314746	3943	97.71995043370508	4035	3688	91.4002478314746	3943	97.71995043370508	4034	3908	96.85254027261462	3951	97.9182156133829	4034	3909	96.87732342007435	3952	97.94299876084263
train	Tox21_NR-ER	4304	4304	3960	92.00743494423791	4206	97.72304832713755	4304	3960	92.00743494423791	4206	97.72304832713755	4303	4180	97.11895910780669	4216	97.95539033457248	4303	4181	97.14219330855019	4217	97.97862453531599
train	Tox21_NR-ER-LBD	4801	4801	4417	92.00166631951677	4679	97.4588627369298	4801	4417	92.00166631951677	4679	97.4588627369298	4800	4635	96.54238700270777	4689	97.66715267652572	4800	4637	96.58404499062695	4690	97.68798167048531
train	Tox21_NR-PPAR-gamma	4472	4472	4113	91.97227191413238	4359	97.47316636851521	4472	4113	91.97227191413238	4359	97.47316636851521	4471	4324	96.69051878354205	4369	97.69677996422182	4471	4325	96.7128801431127	4370	97.71914132379248
train	Tox21_SR-ARE	4028	4028	3725	92.47765640516386	3927	97.49255213505462	4028	3725	92.47765640516386	3927	97.49255213505462	4027	3915	97.19463753723933	3936	97.7159880834161	4027	3915	97.19463753723933	3936	97.7159880834161
train	Tox21_SR-ATAD5	4895	4895	4502	91.97139938712972	4774	97.52808988764045	4895	4502	91.97139938712972	4774	97.52808988764045	4894	4735	96.73135852911133	4789	97.83452502553627	4894	4737	96.77221654749745	4790	97.85495403472932
train	Tox21_SR-HSE	4468	4468	4115	92.0993733213966	4343	97.20232766338407	4468	4115	92.0993733213966	4343	97.20232766338407	4467	4329	96.88898836168308	4356	97.49328558639212	4467	4329	96.88898836168308	4356	97.49328558639212
train	Tox21_SR-MMP	4015	4015	3684	91.75591531755916	3909	97.359900373599	4015	3684	91.75591531755916	3909	97.359900373599	4015	3878	96.58779576587796	3921	97.65877957658779	4015	3879	96.61270236612702	3922	97.68368617683686
train	Tox21_SR-p53	4681	4681	4291	91.66844691305276	4562	97.45780816064944	4681	4291	91.66844691305276	4562	97.45780816064944	4680	4521	96.58192693868831	4573	97.6928006836146	4680	4522	96.60328989532151	4574	97.7141636402478
train	hERG	452	452	182	40.26548672566372	383	84.73451327433628	452	182	40.26548672566372	383	84.73451327433628	452	295	65.26548672566372	386	85.39823008849558	452	295	65.26548672566372	386	85.39823008849558
valid	AMES	721	721	318	44.10540915395284	378	52.42718446601942	721	318	44.10540915395284	378	52.42718446601942	721	318	44.10540915395284	378	52.42718446601942	721	318	44.10540915395284	378	52.42718446601942
valid	BBB_Martins	195	195	155	79.48717948717949	184	94.35897435897436	195	155	79.48717948717949	184	94.35897435897436	195	158	81.02564102564102	184	94.35897435897436	195	158	81.02564102564102	184	94.35897435897436
valid	Bioavailability_Ma	64	64	63	98.4375	64	100.0	64	63	98.4375	64	100.0	64	63	98.4375	64	100.0	64	63	98.4375	64	100.0
valid	CYP1A2_Veith	1254	1254	1196	95.37480063795853	1230	98.08612440191388	1254	1196	95.37480063795853	1230	98.08612440191388	1254	1204	96.01275917065391	1231	98.1658692185008	1254	1204	96.01275917065391	1231	98.1658692185008
valid	CYP2C19_Veith	1264	1264	1216	96.20253164556962	1238	97.94303797468355	1264	1216	96.20253164556962	1238	97.94303797468355	1264	1224	96.83544303797468	1239	98.02215189873418	1264	1224	96.83544303797468	1239	98.02215189873418
valid	CYP2C9_Substrate_CarbonMangels	66	66	55	83.33333333333333	66	100.0	66	55	83.33333333333333	66	100.0	66	55	83.33333333333333	66	100.0	66	55	83.33333333333333	66	100.0
valid	CYP2C9_Veith	1205	1205	1144	94.93775933609959	1178	97.75933609958506	1205	1144	94.93775933609959	1178	97.75933609958506	1205	1156	95.93360995850622	1179	97.84232365145228	1205	1156	95.93360995850622	1179	97.84232365145228
valid	CYP2D6_Substrate_CarbonMangels	66	66	57	86.36363636363636	66	100.0	66	57	86.36363636363636	66	100.0	66	57	86.36363636363636	66	100.0	66	57	86.36363636363636	66	100.0
valid	CYP2D6_Veith	1313	1313	1255	95.58263518659558	1298	98.85757806549886	1313	1255	95.58263518659558	1298	98.85757806549886	1313	1268	96.57273419649657	1299	98.93373952779893	1313	1268	96.57273419649657	1299	98.93373952779893
valid	CYP3A4_Substrate_CarbonMangels	67	67	55	82.08955223880596	65	97.01492537313433	67	55	82.08955223880596	65	97.01492537313433	67	55	82.08955223880596	65	97.01492537313433	67	55	82.08955223880596	65	97.01492537313433
valid	CYP3A4_Veith	1229	1229	1161	94.46704637917006	1209	98.3726606997559	1229	1161	94.46704637917006	1209	98.3726606997559	1229	1179	95.93165174938974	1210	98.4540276647681	1229	1179	95.93165174938974	1210	98.4540276647681
valid	Carcinogens_Lagunin	28	28	24	85.71428571428571	26	92.85714285714286	28	24	85.71428571428571	26	92.85714285714286	28	24	85.71428571428571	26	92.85714285714286	28	24	85.71428571428571	26	92.85714285714286
valid	ClinTox	139	139	62	44.60431654676259	134	96.40287769784173	139	62	44.60431654676259	134	96.40287769784173	139	132	94.96402877697842	136	97.84172661870504	139	132	94.96402877697842	136	97.84172661870504
valid	DILI	47	47	34	72.34042553191489	46	97.87234042553192	47	34	72.34042553191489	46	97.87234042553192	47	35	74.46808510638297	46	97.87234042553192	47	35	74.46808510638297	46	97.87234042553192
valid	HIA_Hou	57	57	27	47.36842105263158	47	82.45614035087719	57	27	47.36842105263158	47	82.45614035087719	57	27	47.36842105263158	47	82.45614035087719	57	27	47.36842105263158	47	82.45614035087719
valid	PAMPA_NCATS	203	203	146	71.92118226600985	148	72.9064039408867	203	146	71.92118226600985	148	72.9064039408867	203	146	71.92118226600985	148	72.9064039408867	203	146	71.92118226600985	148	72.9064039408867
valid	Pgp_Broccatelli	121	121	65	53.71900826446281	102	84.29752066115702	121	65	53.71900826446281	102	84.29752066115702	121	65	53.71900826446281	102	84.29752066115702	121	65	53.71900826446281	102	84.29752066115702
valid	SARSCoV2_3CLPro_Diamond	88	88	28	31.818181818181817	28	31.818181818181817	88	28	31.818181818181817	28	31.818181818181817	88	28	31.818181818181817	28	31.818181818181817	88	28	31.818181818181817	28	31.818181818181817
valid	SARSCoV2_Vitro_Touret	148	148	135	91.21621621621621	146	98.64864864864865	148	135	91.21621621621621	146	98.64864864864865	148	143	96.62162162162163	147	99.32432432432432	148	143	96.62162162162163	147	99.32432432432432
valid	Skin_Reaction	40	40	22	55.0	23	57.5	40	22	55.0	23	57.5	40	22	55.0	23	57.5	40	22	55.0	23	57.5
valid	Tox21_NR-AR	723	723	655	90.59474412171508	714	98.7551867219917	723	655	90.59474412171508	714	98.7551867219917	723	693	95.850622406639	717	99.1701244813278	723	694	95.98893499308437	717	99.1701244813278
valid	Tox21_NR-AR-LBD	639	639	595	93.11424100156495	629	98.43505477308294	639	595	93.11424100156495	629	98.43505477308294	639	620	97.0266040688576	631	98.74804381846636	639	620	97.0266040688576	631	98.74804381846636
valid	Tox21_NR-AhR	636	636	599	94.18238993710692	631	99.21383647798743	636	599	94.18238993710692	631	99.21383647798743	636	622	97.79874213836477	631	99.21383647798743	636	622	97.79874213836477	631	99.21383647798743
valid	Tox21_NR-Aromatase	547	547	500	91.40767824497257	539	98.53747714808044	547	500	91.40767824497257	539	98.53747714808044	547	525	95.9780621572212	541	98.90310786106033	547	526	96.16087751371116	541	98.90310786106033
valid	Tox21_NR-ER	616	616	567	92.04545454545455	611	99.18831168831169	616	567	92.04545454545455	611	99.18831168831169	616	599	97.24025974025975	612	99.35064935064935	616	600	97.40259740259741	612	99.35064935064935
valid	Tox21_NR-ER-LBD	681	681	617	90.60205580029368	673	98.82525697503671	681	617	90.60205580029368	673	98.82525697503671	681	664	97.50367107195301	674	98.97209985315712	681	664	97.50367107195301	674	98.97209985315712
valid	Tox21_NR-PPAR-gamma	620	620	579	93.38709677419355	613	98.87096774193549	620	579	93.38709677419355	613	98.87096774193549	620	606	97.74193548387096	614	99.03225806451613	620	606	97.74193548387096	614	99.03225806451613
valid	Tox21_SR-ARE	570	570	543	95.26315789473684	565	99.12280701754386	570	543	95.26315789473684	565	99.12280701754386	570	559	98.0701754385965	565	99.12280701754386	570	559	98.0701754385965	565	99.12280701754386
valid	Tox21_SR-ATAD5	706	706	646	91.5014164305949	700	99.15014164305948	706	646	91.5014164305949	700	99.15014164305948	706	686	97.1671388101983	701	99.29178470254958	706	686	97.1671388101983	701	99.29178470254958
valid	Tox21_SR-HSE	645	645	608	94.26356589147287	645	100.0	645	608	94.26356589147287	645	100.0	645	638	98.91472868217055	645	100.0	645	638	98.91472868217055	645	100.0
valid	Tox21_SR-MMP	568	568	530	93.30985915492958	564	99.29577464788733	568	530	93.30985915492958	564	99.29577464788733	568	555	97.71126760563381	565	99.47183098591549	568	555	97.71126760563381	565	99.47183098591549
valid	Tox21_SR-p53	674	674	627	93.026706231454	669	99.25816023738872	674	627	93.026706231454	669	99.25816023738872	674	659	97.77448071216617	670	99.40652818991099	674	659	97.77448071216617	670	99.40652818991099
valid	hERG	64	64	25	39.0625	48	75.0	64	25	39.0625	48	75.0	64	37	57.8125	48	75.0	64	37	57.8125	48	75.0
