smiles	valid_rdkit	canonical_smiles	inchi_key	inchi_key_connectivity	chembl_full_inchikey_match	chembl_connectivity_match	chembl_ids	rdkit_valid	rdkit_canonical_smiles	rdkit_inchi_key	rdkit_inchi_key_connectivity	rdkit_full_match	rdkit_connectivity_match	rdkit_chembl_ids	rdkit_error	chembl_standardized_valid	chembl_standardized_canonical_smiles	chembl_standardized_inchi_key	chembl_standardized_inchi_key_connectivity	chembl_standardized_full_match	chembl_standardized_connectivity_match	chembl_standardized_chembl_ids	chembl_standardized_error	chembl_parent_valid	chembl_parent_canonical_smiles	chembl_parent_inchi_key	chembl_parent_inchi_key_connectivity	chembl_parent_full_match	chembl_parent_connectivity_match	chembl_parent_chembl_ids	chembl_parent_error
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43	True	BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43	DMAOOKLAQXNHTK-UHFFFAOYSA-N	DMAOOKLAQXNHTK	False	False		True	BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43	DMAOOKLAQXNHTK-UHFFFAOYSA-N	DMAOOKLAQXNHTK	False	False			True	BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43	DMAOOKLAQXNHTK-UHFFFAOYSA-N	DMAOOKLAQXNHTK	False	False			True	BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43	DMAOOKLAQXNHTK-UHFFFAOYSA-N	DMAOOKLAQXNHTK	False	False		
BrCc1c2ccccc2cc2c1ccc1ccccc12	True	BrCc1c2ccccc2cc2c1ccc1ccccc12	QUVSFZCWYBQJJK-UHFFFAOYSA-N	QUVSFZCWYBQJJK	False	False		True	BrCc1c2ccccc2cc2c1ccc1ccccc12	QUVSFZCWYBQJJK-UHFFFAOYSA-N	QUVSFZCWYBQJJK	False	False			True	BrCc1c2ccccc2cc2c1ccc1ccccc12	QUVSFZCWYBQJJK-UHFFFAOYSA-N	QUVSFZCWYBQJJK	False	False			True	BrCc1c2ccccc2cc2c1ccc1ccccc12	QUVSFZCWYBQJJK-UHFFFAOYSA-N	QUVSFZCWYBQJJK	False	False		
BrCc1c2ccccc2cc2ccc3ccccc3c12	True	BrCc1c2ccccc2cc2ccc3ccccc3c12	GSIGMXDJDJOAOO-UHFFFAOYSA-N	GSIGMXDJDJOAOO	False	False		True	BrCc1c2ccccc2cc2ccc3ccccc3c12	GSIGMXDJDJOAOO-UHFFFAOYSA-N	GSIGMXDJDJOAOO	False	False			True	BrCc1c2ccccc2cc2ccc3ccccc3c12	GSIGMXDJDJOAOO-UHFFFAOYSA-N	GSIGMXDJDJOAOO	False	False			True	BrCc1c2ccccc2cc2ccc3ccccc3c12	GSIGMXDJDJOAOO-UHFFFAOYSA-N	GSIGMXDJDJOAOO	False	False		
BrCc1c2ccccc2cc2ccccc12	True	BrCc1c2ccccc2cc2ccccc12	KOWKPLCVFRHICH-UHFFFAOYSA-N	KOWKPLCVFRHICH	False	False		True	BrCc1c2ccccc2cc2ccccc12	KOWKPLCVFRHICH-UHFFFAOYSA-N	KOWKPLCVFRHICH	False	False			True	BrCc1c2ccccc2cc2ccccc12	KOWKPLCVFRHICH-UHFFFAOYSA-N	KOWKPLCVFRHICH	False	False			True	BrCc1c2ccccc2cc2ccccc12	KOWKPLCVFRHICH-UHFFFAOYSA-N	KOWKPLCVFRHICH	False	False		
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2	True	BrCc1cc2c3c(cccc3c1)-c1ccccc1-2	OBPLBICJMCINMR-UHFFFAOYSA-N	OBPLBICJMCINMR	False	False		True	BrCc1cc2c3c(cccc3c1)-c1ccccc1-2	OBPLBICJMCINMR-UHFFFAOYSA-N	OBPLBICJMCINMR	False	False			True	BrCc1cc2c3c(cccc3c1)-c1ccccc1-2	OBPLBICJMCINMR-UHFFFAOYSA-N	OBPLBICJMCINMR	False	False			True	BrCc1cc2c3c(cccc3c1)-c1ccccc1-2	OBPLBICJMCINMR-UHFFFAOYSA-N	OBPLBICJMCINMR	False	False		
BrCc1ccc(Br)cc1	True	BrCc1ccc(Br)cc1	YLRBJYMANQKEAW-UHFFFAOYSA-N	YLRBJYMANQKEAW	True	True	CHEMBL3185105	True	BrCc1ccc(Br)cc1	YLRBJYMANQKEAW-UHFFFAOYSA-N	YLRBJYMANQKEAW	True	True	CHEMBL3185105		True	BrCc1ccc(Br)cc1	YLRBJYMANQKEAW-UHFFFAOYSA-N	YLRBJYMANQKEAW	True	True	CHEMBL3185105		True	BrCc1ccc(Br)cc1	YLRBJYMANQKEAW-UHFFFAOYSA-N	YLRBJYMANQKEAW	True	True	CHEMBL3185105	
BrCc1ccc(CBr)cc1	True	BrCc1ccc(CBr)cc1	RBZMSGOBSOCYHR-UHFFFAOYSA-N	RBZMSGOBSOCYHR	False	False		True	BrCc1ccc(CBr)cc1	RBZMSGOBSOCYHR-UHFFFAOYSA-N	RBZMSGOBSOCYHR	False	False			True	BrCc1ccc(CBr)cc1	RBZMSGOBSOCYHR-UHFFFAOYSA-N	RBZMSGOBSOCYHR	False	False			True	BrCc1ccc(CBr)cc1	RBZMSGOBSOCYHR-UHFFFAOYSA-N	RBZMSGOBSOCYHR	False	False		
BrCc1ccc2c(c1)-c1cccc3cccc-2c13	True	BrCc1ccc2c(c1)-c1cccc3cccc-2c13	SWVYPQSQKJOARK-UHFFFAOYSA-N	SWVYPQSQKJOARK	False	False		True	BrCc1ccc2c(c1)-c1cccc3cccc-2c13	SWVYPQSQKJOARK-UHFFFAOYSA-N	SWVYPQSQKJOARK	False	False			True	BrCc1ccc2c(c1)-c1cccc3cccc-2c13	SWVYPQSQKJOARK-UHFFFAOYSA-N	SWVYPQSQKJOARK	False	False			True	BrCc1ccc2c(c1)-c1cccc3cccc-2c13	SWVYPQSQKJOARK-UHFFFAOYSA-N	SWVYPQSQKJOARK	False	False		
BrCc1ccc2c3c(cccc13)-c1ccccc1-2	True	BrCc1ccc2c3c(cccc13)-c1ccccc1-2	ULFISVXZDJQFKQ-UHFFFAOYSA-N	ULFISVXZDJQFKQ	False	False		True	BrCc1ccc2c3c(cccc13)-c1ccccc1-2	ULFISVXZDJQFKQ-UHFFFAOYSA-N	ULFISVXZDJQFKQ	False	False			True	BrCc1ccc2c3c(cccc13)-c1ccccc1-2	ULFISVXZDJQFKQ-UHFFFAOYSA-N	ULFISVXZDJQFKQ	False	False			True	BrCc1ccc2c3c(cccc13)-c1ccccc1-2	ULFISVXZDJQFKQ-UHFFFAOYSA-N	ULFISVXZDJQFKQ	False	False		
BrCc1ccc2cccc3c2c1-c1ccccc1-3	True	BrCc1ccc2cccc3c2c1-c1ccccc1-3	RAFILKBKMFMKKU-UHFFFAOYSA-N	RAFILKBKMFMKKU	False	False		True	BrCc1ccc2cccc3c2c1-c1ccccc1-3	RAFILKBKMFMKKU-UHFFFAOYSA-N	RAFILKBKMFMKKU	False	False			True	BrCc1ccc2cccc3c2c1-c1ccccc1-3	RAFILKBKMFMKKU-UHFFFAOYSA-N	RAFILKBKMFMKKU	False	False			True	BrCc1ccc2cccc3c2c1-c1ccccc1-3	RAFILKBKMFMKKU-UHFFFAOYSA-N	RAFILKBKMFMKKU	False	False		
BrCc1cccc(CBr)c1	True	BrCc1cccc(CBr)c1	OXHOPZLBSSTTBU-UHFFFAOYSA-N	OXHOPZLBSSTTBU	False	False		True	BrCc1cccc(CBr)c1	OXHOPZLBSSTTBU-UHFFFAOYSA-N	OXHOPZLBSSTTBU	False	False			True	BrCc1cccc(CBr)c1	OXHOPZLBSSTTBU-UHFFFAOYSA-N	OXHOPZLBSSTTBU	False	False			True	BrCc1cccc(CBr)c1	OXHOPZLBSSTTBU-UHFFFAOYSA-N	OXHOPZLBSSTTBU	False	False		
BrCc1cccc(Oc2ccccc2)c1	True	BrCc1cccc(Oc2ccccc2)c1	UJUNUASMYSTBSK-UHFFFAOYSA-N	UJUNUASMYSTBSK	True	True	CHEMBL3182389	True	BrCc1cccc(Oc2ccccc2)c1	UJUNUASMYSTBSK-UHFFFAOYSA-N	UJUNUASMYSTBSK	True	True	CHEMBL3182389		True	BrCc1cccc(Oc2ccccc2)c1	UJUNUASMYSTBSK-UHFFFAOYSA-N	UJUNUASMYSTBSK	True	True	CHEMBL3182389		True	BrCc1cccc(Oc2ccccc2)c1	UJUNUASMYSTBSK-UHFFFAOYSA-N	UJUNUASMYSTBSK	True	True	CHEMBL3182389	
BrCc1cccc2c1-c1cccc3cccc-2c13	True	BrCc1cccc2c1-c1cccc3cccc-2c13	DGQZUDLURVDACO-UHFFFAOYSA-N	DGQZUDLURVDACO	False	False		True	BrCc1cccc2c1-c1cccc3cccc-2c13	DGQZUDLURVDACO-UHFFFAOYSA-N	DGQZUDLURVDACO	False	False			True	BrCc1cccc2c1-c1cccc3cccc-2c13	DGQZUDLURVDACO-UHFFFAOYSA-N	DGQZUDLURVDACO	False	False			True	BrCc1cccc2c1-c1cccc3cccc-2c13	DGQZUDLURVDACO-UHFFFAOYSA-N	DGQZUDLURVDACO	False	False		
BrCc1ccccc1	True	BrCc1ccccc1	AGEZXYOZHKGVCM-UHFFFAOYSA-N	AGEZXYOZHKGVCM	True	True	CHEMBL1085946	True	BrCc1ccccc1	AGEZXYOZHKGVCM-UHFFFAOYSA-N	AGEZXYOZHKGVCM	True	True	CHEMBL1085946		True	BrCc1ccccc1	AGEZXYOZHKGVCM-UHFFFAOYSA-N	AGEZXYOZHKGVCM	True	True	CHEMBL1085946		True	BrCc1ccccc1	AGEZXYOZHKGVCM-UHFFFAOYSA-N	AGEZXYOZHKGVCM	True	True	CHEMBL1085946	
BrCc1ccccc1CBr	True	BrCc1ccccc1CBr	KGKAYWMGPDWLQZ-UHFFFAOYSA-N	KGKAYWMGPDWLQZ	False	False		True	BrCc1ccccc1CBr	KGKAYWMGPDWLQZ-UHFFFAOYSA-N	KGKAYWMGPDWLQZ	False	False			True	BrCc1ccccc1CBr	KGKAYWMGPDWLQZ-UHFFFAOYSA-N	KGKAYWMGPDWLQZ	False	False			True	BrCc1ccccc1CBr	KGKAYWMGPDWLQZ-UHFFFAOYSA-N	KGKAYWMGPDWLQZ	False	False		
