smiles	canonical_smiles	inchi_key	inchi_key_connectivity	chembl_connectivity_match	error
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	AZJUFRDUYTYIHV-NKFKGCMQSA-N	AZJUFRDUYTYIHV	True	
C/C(=C1/CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N	C/C(=C1/CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N	LLJDJQYGZBQFIF-DHZHZOJOSA-N	LLJDJQYGZBQFIF	True	
C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O	C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O	MINDHVHHQZYEEK-HBBNESRFSA-M	MINDHVHHQZYEEK	True	
C/C(=C\c1csc(C)n1)C1C[C@@H]2O[C@]2(C)CCC[C@H](C)C(O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	C/C(=C\c1csc(C)n1)C1C[C@@H]2O[C@]2(C)CCC[C@H](C)C(O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	QXRSDHAAWVKZLJ-DMYVKTNGSA-N	QXRSDHAAWVKZLJ	True	
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-]	C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-]	IRJQWZWMQCVOLA-DNTJNYDQSA-M	IRJQWZWMQCVOLA	True	
C/C(=N\O)[C@@H](C)[NH2+]CC(C)(C)C[NH2+][C@H](C)/C(C)=N/O	C/C(=N\O)[C@@H](C)[NH2+]CC(C)(C)C[NH2+][C@H](C)/C(C)=N/O	BPNZYADGDZPRTK-UDUYQYQQSA-P	BPNZYADGDZPRTK	True	
C/C=C(C(=C\C)\c1ccc(O)cc1)/c1ccc(O)cc1	C/C=C(C(=C\C)\c1ccc(O)cc1)/c1ccc(O)cc1	NFDFQCUYFHCNBW-CCHMCBCZSA-N	NFDFQCUYFHCNBW	True	
C/C=C(\CC)C(=O)NC(N)=O	C/C=C(\CC)C(=O)NC(N)=O	QCUPYFTWJOZAOB-HWKANZROSA-N	QCUPYFTWJOZAOB	True	
C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O	C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O	CQHWXFJMBUFHLX-YWEYNIOJSA-N	CQHWXFJMBUFHLX	True	
C/C=C/C(=O)N(CC)c1ccccc1C	C/C=C/C(=O)N(CC)c1ccccc1C	DNTGGZPQPQTDQF-XBXARRHUSA-N	DNTGGZPQPQTDQF	True	
C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1	C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1	LJWZOKOFCBPNAG-AATRIKPKSA-N	LJWZOKOFCBPNAG	True	
C/C=C/C1OC(=O)C=CC1O	C/C=C/C1OC(=O)C=CC1O	OKDRUMBNXIYUEO-NSCUHMNNSA-N	OKDRUMBNXIYUEO	True	
C/C=C/C=C/C(=O)[O-]	C/C=C/C=C/C(=O)[O-]	WSWCOQWTEOXDQX-MQQKCMAXSA-M	WSWCOQWTEOXDQX	True	
C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	YJDYDFNKCBANTM-PYCKSKKLSA-N	YJDYDFNKCBANTM	True	
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	PMATZTZNYRCHOR-SLGIMQCHSA-N	PMATZTZNYRCHOR	True	
C/C=C/c1cc2c(c(=O)o1)C(=O)C(O)C(C)O2	C/C=C/c1cc2c(c(=O)o1)C(=O)C(O)C(C)O2	SDKXGAICTNHFCN-ONEGZZNKSA-N	SDKXGAICTNHFCN	True	
C/C=C1/CC(C)C(C)(OC(C)=O)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O	C/C=C1/CC(C)C(C)(OC(C)=O)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O	ZOIAVVNLMDKOIV-NIGFTUNTSA-N	ZOIAVVNLMDKOIV	True	
C/C=C1/CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23	C/C=C1/CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23	BCJMNZRQJAVDLD-BASWHVEKSA-N	BCJMNZRQJAVDLD	True	
C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23	C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23	BCJMNZRQJAVDLD-HKKPUIFWSA-N	BCJMNZRQJAVDLD	True	
C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23	C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23	HKODIGSRFALUTA-UUILKARUSA-N	HKODIGSRFALUTA	True	
C/C=C1\C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@H](OC1=O)C23	C/C=C1\C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@H](OC1=O)C23	BCJMNZRQJAVDLD-DQZMCSFFSA-N	BCJMNZRQJAVDLD	True	
C/C=C1\C[C@@H]2C=C[C@H]1C2	C/C=C1\C[C@@H]2C=C[C@H]1C2	OJOWICOBYCXEKR-WHZSQGQPSA-N	OJOWICOBYCXEKR	True	
C/C=C1\N(C)[C@H](C)CC1(c1ccccc1)c1ccccc1	C/C=C1\N(C)[C@H](C)CC1(c1ccccc1)c1ccccc1	AJRJPORIQGYFMT-IBCCMOFXSA-N	AJRJPORIQGYFMT	True	
C/C=C1\NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O	C/C=C1\NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O	OHRURASPPZQGQM-HMLXJHLFSA-N	OHRURASPPZQGQM	True	
C/C=C\C1=C(CO)C(=O)[C@@H]2O[C@@H]2C1=O	C/C=C\C1=C(CO)C(=O)[C@@H]2O[C@@H]2C1=O	MBCPVQLLSPBHSA-LTFJCZIQSA-N	MBCPVQLLSPBHSA	True	
C/C=C\C1=C(CO)C(=O)[C@H]2O[C@]2(CC=C(C)C)C1=O	C/C=C\C1=C(CO)C(=O)[C@H]2O[C@]2(CC=C(C)C)C1=O	UZCMWLOJYKFGQB-ZYDHHDLOSA-N	UZCMWLOJYKFGQB	True	
C/C=C\C1=C(CO)[C@H](O)[C@H]2O[C@H]2[C@@H]1O	C/C=C\C1=C(CO)[C@H](O)[C@H]2O[C@H]2[C@@H]1O	QVUUTMGAHHMHQA-AFQYZKHGSA-N	QVUUTMGAHHMHQA	True	
C/C=C\C1=C(CO)[C@H](O)[C@H]2O[C@H]2[C@H]1O	C/C=C\C1=C(CO)[C@H](O)[C@H]2O[C@H]2[C@H]1O	QVUUTMGAHHMHQA-WWTQSMQASA-N	QVUUTMGAHHMHQA	True	
C/C=C\C=C/C(=O)O	C/C=C\C=C/C(=O)O	WSWCOQWTEOXDQX-LDIADDGTSA-N	WSWCOQWTEOXDQX	True	
C/C=C\C=C/C=O	C/C=C\C=C/C=O	BATOPAZDIZEVQF-LDIADDGTSA-N	BATOPAZDIZEVQF	True	
C/C=C\C=O	C/C=C\C=O	MLUCVPSAIODCQM-IHWYPQMZSA-N	MLUCVPSAIODCQM	True	
C/C=C\C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	C/C=C\C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	PMATZTZNYRCHOR-DAYHEYMASA-N	PMATZTZNYRCHOR	True	
C/C=C\C[C@H](C)[C@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	C/C=C\C[C@H](C)[C@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	PMATZTZNYRCHOR-JTRRLDOLSA-N	PMATZTZNYRCHOR	True	
C1=CCCC=CCCC=CCC1	C1=CCCC=CCCC=CCC1	ZOLLIQAKMYWTBR-UHFFFAOYSA-N	ZOLLIQAKMYWTBR	True	
C1=C[C@@H]2O[C@@H]2C=C1	C1=C[C@@H]2O[C@@H]2C=C1	WDFZWSZNOFELJY-OLQVQODUSA-N	WDFZWSZNOFELJY	True	
C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4	C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4	WSBNMAGTIVSKFH-QUCCMNQESA-N	WSBNMAGTIVSKFH	True	
C1=C[C@H]2[C@@H](C1)[C@@H]1C=C[C@H]2C1	C1=C[C@H]2[C@@H](C1)[C@@H]1C=C[C@H]2C1	HECLRDQVFMWTQS-JLIMGVALSA-N	HECLRDQVFMWTQS	True	
C1CCC(C(C[C@@H]2CCCC[NH2+]2)C2CCCCC2)CC1	C1CCC(C(C[C@@H]2CCCC[NH2+]2)C2CCCCC2)CC1	CYXKNKQEMFBLER-SFHVURJKSA-O	CYXKNKQEMFBLER	True	
C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1	C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1	CYXKNKQEMFBLER-GOSISDBHSA-N	CYXKNKQEMFBLER	True	
C1CCC(C(C[C@H]2CCCC[NH2+]2)C2CCCCC2)CC1	C1CCC(C(C[C@H]2CCCC[NH2+]2)C2CCCCC2)CC1	CYXKNKQEMFBLER-GOSISDBHSA-O	CYXKNKQEMFBLER	True	
C1CCC2(C1)C1C[NH+](CC3CC3)CC2C[NH+](CC2CC2)C1	C1CCC2(C1)C1C[NH+](CC3CC3)CC2C[NH+](CC2CC2)C1	CTIRHWCPXYGDGF-UHFFFAOYSA-P	CTIRHWCPXYGDGF	True	
C1CCN2C[C@@H]3C[C@H](CN4CCCC[C@H]34)[C@H]2C1	C1CCN2C[C@@H]3C[C@H](CN4CCCC[C@H]34)[C@H]2C1	SLRCCWJSBJZJBV-LXTVHRRPSA-N	SLRCCWJSBJZJBV	True	
C1CC[C@H]2CCCC[C@@H]2C1	C1CC[C@H]2CCCC[C@@H]2C1	NNBZCPXTIHJBJL-MGCOHNPYSA-N	NNBZCPXTIHJBJL	True	
C1CC[C@H]2O[C@H]2C1	C1CC[C@H]2O[C@H]2C1	ZWAJLVLEBYIOTI-OLQVQODUSA-N	ZWAJLVLEBYIOTI	True	
C1C[C@@H]2O[C@@H]2C[C@@H]1[C@H]1CO1	C1C[C@@H]2O[C@@H]2C[C@@H]1[C@H]1CO1	OECTYKWYRCHAKR-ULAWRXDQSA-N	OECTYKWYRCHAKR	True	
C1C[NH2+]CCN1	C1C[NH2+]CCN1	GLUUGHFHXGJENI-UHFFFAOYSA-O	GLUUGHFHXGJENI	True	
C1O[C@H]1[C@H]1CO1	C1O[C@H]1[C@H]1CO1	ZFIVKAOQEXOYFY-QWWZWVQMSA-N	ZFIVKAOQEXOYFY	True	
C=C(C)C(=O)OC[C@H]1CO1	C=C(C)C(=O)OC[C@H]1CO1	VOZRXNHHFUQHIL-ZCFIWIBFSA-N	VOZRXNHHFUQHIL	True	
C=C(C)C(=O)[O-]	C=C(C)C(=O)[O-]	CERQOIWHTDAKMF-UHFFFAOYSA-M	CERQOIWHTDAKMF	True	
C=C(C)COc1ccc2c(c1)CC[C@@H]1[C@H]3C/C(=N\O)C(=O)[C@@]3(C)CC[C@@H]21	C=C(C)COc1ccc2c(c1)CC[C@@H]1[C@H]3C/C(=N\O)C(=O)[C@@]3(C)CC[C@@H]21	YQICTZDGXWUAOK-QRCNYEHLSA-N	YQICTZDGXWUAOK	True	
C=C(C)CS(=O)(=O)[O-]	C=C(C)CS(=O)(=O)[O-]	XEEYSDHEOQHCDA-UHFFFAOYSA-M	XEEYSDHEOQHCDA	True	
C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O	C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O	QHMBSVQNZZTUGM-ZENAZSQFSA-N	QHMBSVQNZZTUGM	True	
C=C(C)[C@@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)cc1O	C=C(C)[C@@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)cc1O	QHMBSVQNZZTUGM-ROUUACIJSA-N	QHMBSVQNZZTUGM	True	
C=C(C)[C@@H]1CC[C@@H](C)C[C@@H]1O	C=C(C)[C@@H]1CC[C@@H](C)C[C@@H]1O	ZYTMANIQRDEHIO-UTLUCORTSA-N	ZYTMANIQRDEHIO	True	
C=C(C)[C@@H]1CC[C@@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@H]5CC[C@@]43C)[C@@H]12	C=C(C)[C@@H]1CC[C@@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@H]5CC[C@@]43C)[C@@H]12	QGJZLNKBHJESQX-ZHWUZWIOSA-N	QGJZLNKBHJESQX	True	
C=C(C)[C@@H]1Cc2c(ccc3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1	C=C(C)[C@@H]1Cc2c(ccc3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1	JUVIOZPCNVVQFO-NDXORKPFSA-N	JUVIOZPCNVVQFO	True	
C=C(C)[C@H]1CC=C(C)[C@@H](OC(C)=O)C1	C=C(C)[C@H]1CC=C(C)[C@@H](OC(C)=O)C1	YTHRBOFHFYZBRJ-RYUDHWBXSA-N	YTHRBOFHFYZBRJ	True	
